name,content,hh_count,image_url,age
乐孑,"


我们(事业)单位 的领导，年龄不大很猖狂，骂人很随便，男女老少都骂，更可笑的是，他只要想骂人，就召集大伙来开会，然后他就开骂，短则几分钟，长则一、二个小时。他骂大伙，大伙在背后再骂他。还好他现在可不敢骂了，怕有人录音给他捅出去，整下来。单位四、五十人是不是太窝囊了。

",254,//pic.qiushibaike.com/system/avtnew/2832/28322802/thumb/20150511053740.jpg?imageView2/1/w/90/h/90,0
傻妞也,"


带男友回家，老妈特开心，看到小侄子坐着一言不发，问到：宝宝，怎么不叫人？小侄子：叫谁啊？我又不认识。老妈：叔叔上次不是来过了？你怎么就不认识了？小侄子摸摸头：嗯，我想想……老妈：想什么啊，才几天啊？小侄子：上次他拎着大礼包的，这次又没有拎，我怎么认得出来？老妈：臭小子……小侄子：奶奶，没办法，我认礼不认人。

",723,//pic.qiushibaike.com/system/avtnew/3068/30683297/thumb/20151125205620.jpg?imageView2/1/w/90/h/90,97
嗨～哈尼！,"


至少五个字

",2829,//pic.qiushibaike.com/system/avtnew/2834/28347928/thumb/2016092622544769.JPEG?imageView2/1/w/90/h/90,24
月無影,"


老二七个月了，还有三个月就卸货，是狗年宝宝还不知道男女，求大神们给过，帮我家老二取个名字，夫家姓赵

",504,//pic.qiushibaike.com/system/avtnew/3301/33015279/thumb/20171001112308.JPEG?imageView2/1/w/90/h/90,31
匿名用户,"


工作上的事情，先思考清楚，拿出方案或制定成制度，有利于患者有利于医院有利于科室，在现有条件下又能执行，科室坚决支持，做到对事不对人，体现公平公正。

",221,//static.qiushibaike.com/images/thumb/anony.png?v=b61e7f5162d14b7c0d5f419cd6649c87,
初楚楚楚楚楚,"


这几天累坏了！

",105,//pic.qiushibaike.com/system/avtnew/1828/18287641/thumb/20150224200216.jpg?imageView2/1/w/90/h/90,32
你家邻居叫马乐,"


昨晚七点多，一个广东惠州的陌生号码来电，北方口音，让我猜他是谁，我绞尽脑汁也想不起来他是谁，就让对方给提示。",2363,//pic.qiushibaike.com/system/avtnew/19/190315/thumb/20151124163156.jpg?imageView2/1/w/90/h/90,34
偷惢,"


前天家里的‘猫’坏掉了，一直闪红灯。楼主自告奋勇的去修，折腾一个小时也没修好，打了报修电话才知道原来整个小区都坏了～",1028,//pic.qiushibaike.com/system/avtnew/3223/32236400/thumb/2017122414422344.JPEG?imageView2/1/w/90/h/90,27
微风吹过之后,"


我又给祖国母亲拖后腿了

",237,//pic.qiushibaike.com/system/avtnew/2697/26977770/thumb/20150326120158.jpg?imageView2/1/w/90/h/90,37
沙漠里的耶骆驼,"


马上春运了，如果在外打工的伙伴们没有订到动车票，高铁票，客车票，飞机票，那就报个旅游团吧，又快人又多还热闹

",225,//pic.qiushibaike.com/system/avtnew/3179/31791659/thumb/20160516130056.jpg?imageView2/1/w/90/h/90,0
未成熟的小恶魔,"


喜欢咖啡拉花的朋友，顶起来！

",219,//pic.qiushibaike.com/system/avtnew/3181/31819460/thumb/20160521224734.jpg?imageView2/1/w/90/h/90,23
