点赞数,姓名,时间,评论
"('401',)","('qw0aszx',)","('2019-02-05',)","('关于审查有一个方面比较有趣，片中美国和俄罗斯两国名字字幕写的的C国和S国，英文台词里America重配音成Amanica，地图镜头上就美国和俄罗斯两块没字幕的',)"
"('312',)","('小鬼Bono',)","('2019-02-05',)","('废了，嬉笑欢闹毫无营养，透出一种非常condescending的态度刻意扮丑拿低级笑料耍着观众乐呵的，放佛看了一场岳云鹏的相声或赵家班的小品。充满鬼点子，处处抖机灵，最核心的问题用一些投机取巧的办法解决，喝高了就完事儿了，比《心花路放》尚不如，看完了就想忘掉的电影，丢亚洲人牌面。',)"
"('248',)","('晚不安',)","('2019-02-05',)","('喜剧的态度是戏谑的，但对电影的态度应该是严肃的。片子讲的是尊重，但是最后透露出的是愚蠢。这不是一部科幻片，而是一部耍猴片。没有半点科幻的精神，《流浪地球》在它面前像一个圣人。人耍猴，猴耍人，人耍人，是讽刺吗？是荒诞吗？我看到的不过是钻营出的搞怪。试图输出什么价值观？ 开头看到水滴还兴奋了一把，其实跟刘慈欣没关系，跟《乡村教师》也没关系，只像那个宇航员拍的抖音视频。听到《查拉图斯特拉如是说 》就气不打一处来，中国电影人拍科幻是有多绕不开《2001太空漫游》啊。梁龙的配乐是最大惊喜。看到后半段还致敬《ET》，但它原来是中美合拍的西游记。宁浩文体两开花。 看得出是在北京世界公园拍的。曾经，贾樟柯在这里拍出了《世界》。《疯狂的外星人》里整个百粮魂，《新喜剧之王》里整个竖店。敢情大家玩的是超现实主义。',)"
"('200',)","('ginger',)","('2019-02-05',)","('不行的 太一般了 我又听到了好几次库布里克太空漫游的bgm',)"
"('247',)","('一〇一',)","('2019-02-05',)","('难得不想看完全场想从电影院提前退场，结尾没有人留下看彩蛋，不要带着上两部疯狂系列剧作结构的期待看，没有惊喜，猴子表演部分引起不适，完全不好笑，宁导是膨胀了，猪年还在玩猴戏',)"
"('245',)","('会飞的龙猫',)","('2019-02-05',)","('难看……有虐待动物三观不正以及精神胜利法，逻辑混乱等众多尬点，特效五毛到震惊……令人失望。 外星人其实没什么恶意，也没伤害哪个就被虐待和杀害的桥段让我很不舒服……总的来说故事很混乱，看了挺后悔',)"
"('180',)","('浆糊',)","('2019-02-05',)","('还不如心花路放。。。坐实宁浩第一烂片，宁浩的口碑神话也保不住了',)"
"('162',)","('寡狗',)","('2019-02-05',)","('江郎才尽的宁浩还是举起了又红又专的民族主义“国粹”大旗，一副境外敌对反华势力亡我之心不死的姿态，不在猴年硬是耍了一场猴戏，骨子里还是外星人版的大闹天空悟空传，原著《乡村教师》被改编的估计亲爸刘慈欣都不认识，还好意思舔着脸打着大刘原著改编的旗号，可以说挂羊头卖猴戏了，充其量是个宁浩式幽默的《捉妖记》，还比不上西蒙佩吉的《外星人保罗》，外星人本体居然就是个头带，贺岁式的胡闹！',)"
"('195',)","('快过期de绿茶',)","('2019-02-05',)","('要没有沈腾跟黄渤撑着，绝对大烂片！疯狂系列最尴尬最烂的一部无疑！很多细节经不起推敲，外星人的头环那么牛逼咋不给他剪了呢？最后用宿醉来收场实实在无语！',)"
"('161',)","('脑子是块硬盘',)","('2019-02-05',)","('种族主义者大联欢，太可怕了。 同场观众特别喜欢更让人绝望。',)"
"('162',)","('大菠萝',)","('2019-02-05',)","('极限了，一分。不知所云，毫无趣味可怜，老子属猴的，看见猴子被耍被打心里很刀扎一样。庸俗，打烂白宫的模型了，就是把美国干趴下了？',)"
"('172',)","('-Aspirin-',)","('2019-02-05',)","('也太难看了。对于万物的想象很匮乏，对于中国人和外国人的想象很匮乏，一部让人感觉很不舒服的电影，由刻板印象和互踩低端的沾沾自喜拼凑起来',)"
"('119',)","('黑狗成',)","('2019-02-05',)","('中国影坛的教父太多了，还都爱致敬总结自己，拜都拜不过来，但宁浩强在后面还投了二十个文牧野，猴毛管够，自己搞花果山玩生态。',)"
"('152',)","('浮生半日闲',)","('2019-02-05',)","('剧情刻意，过度意淫，又是一出国人智商180，老外全是大傻逼的小粉红电影，两星给黄渤和沈腾的演技，旁边的人都在看手机，不知道那些给高分的人是怎么想的',)"
"('88',)","('哪吒男',)","('2019-02-05',)","('大型劝酒电影 闹腾 可以笑 也有歪嘴汗 乌鸦飞 凭借这部电影宁浩完全可以导演明年的春晚',)"
"('61',)","('皮革业',)","('2019-02-05',)","('对《战狼》“虽远必诛”不是致敬，也肯定不算讽刺戏谑，大概接近于豁牙子吃肥肉的微妙关系。真正反讽的倒是，两部电影同时还保持着某种心照不宣的默契——某超级大国你可以挖苦埋汰但就是不能点出名字。当然，宁浩依然保持着华语导演中最流畅的叙事能力，以及日臻完善的本土视听美学，但完全应该找到更得体的姿势。',)"
"('70',)","('瓦力',)","('2019-02-05',)","('放在“疯狂”名下的骗钱货，两小时尬穿银幕的猴戏...引用片中那老外的台词：我都他妈的不知道自己在干啥！还有片头把刘慈欣的《乡村教师》搬出来这真不是在侮辱这本小说吗？',)"
"('93',)","('firemind',)","('2019-02-05',)","('冲着黄渤沈腾徐峥宁浩刘慈欣，带着爸妈一起看的，全程尴尬，大失所望！作为前两部疯狂系列的粉丝，这部片真是……',)"
"('84',)","('西江月',)","('2019-02-05',)","('土',)"
"('75',)","('如雨如雾如风如',)","('2019-02-05',)","('宁浩凭疯狂的石头一战封神 之后作品全是肯老本',)"
"('56',)","('盛世美岩',)","('2019-02-05',)","('两星半，有多期待就有多失望，欢天喜地的倒是挺有春节爆款的模样，但是假装出来的新意底下还是一眼望穿的空洞，说想象力丰富的，这不叫想象力，这叫瞎想。原来所谓的“科幻”和“疯狂”都是宁浩给自己贴的标签，我没想到他已经退步到这种地步了，撕去这些表面的标签之后，这只不过是一部瞎胡闹出来的电影，没有一点逻辑可言，拍快手吓跑外星人？！你把外星人折腾成那样人家居然喝两口酒就和你冰释前嫌了？！你是怎么好意思说自己改编自《乡村教师》的？！戏里耿浩把外星人当猴耍，戏外我也觉得自己被当成了猴，如果今年真的是中国的“科幻元年”的话，请把这一部排除在外。',)"
"('42',)","('谢谢你们的鱼',)","('2019-02-05',)","('有一些有趣的设计，比如外国特工的环球之旅，比如用耍猴的方式对于外星人，比如民乐版的《查拉图斯特拉如是说》，但是整个故事确实非常糟糕，没有重点，没有讨人喜欢的角色，没有固定的风格，这不是“疯狂的外星人”而是“愚蠢的地球人”，宁浩这一次确实没把住。',)"
"('71',)","('璐璐',)","('2019-02-05',)","('太无聊了，还特别闹腾，几次想退场。电影能容纳多少内容并不是最主要的，作为一部喜剧好笑的点都是硬挤出来的，毫无亮点，倒是和持续走下坡路的春晚/开心麻花很像，对于宁浩来说这个局面未免太尴尬了一些。特效也糊的不行。挺想知道小说党对这个改编怎么回应。',)"
"('34',)","('亵渎电影',)","('2019-02-07',)","('本来是春节档最期待的，结果成了最失望的，知道宁浩想拿这个故事来讲什么，无非就是什么是文明和偏见，黄渤的角色一个劲儿的喊着想要尊严和人人平等，就差把这个主题贴脑门上了。导演显然更想要表达，想说个事，想放大故事里荒诞的部分，结果放大之后到了闹剧的程度，意淫式的美国黑，高级文明黑，成了一种以偏概全过于极端的表达，也没见这样做之后主题最终的呈现有多高明，更多是战狼式的民族意淫，闹腾过了，严肃没了。这片子还是坏猴子团队一贯的问题，搁在职业编剧眼里，就会觉得一大群人蹲一起想点子凑段子，到最后剧本成了技巧凑起来的流水线产品，没有个性，专业归专业，也是看过就忘。类型化技巧和作者化表达常常会互相撕扯，二者兼得的难度太大了，需要编剧撞大运，有一个戏剧性极其精彩的点子，否则就只能纯技巧的攒了。★★☆',)"
"('35',)","('LOOK',)","('2019-02-05',)","('什么鸡毛科幻片，纯粹就是义和团耍宝片',)"
"('48',)","('郑嘉成',)","('2019-02-05',)","('【2019年2月5日-太原万达影城龙湖店 14号厅（12.1声道IMAX激光厅）】外星人都被抖音吓坏了！！！大型闹剧，宁浩的风格全无，剧作更是差。烂梗、各种无聊的笑点集结。（疯狂的系列最差，抖音的资本力量真的强大，霸占了春晚，霸占电影，是想统治传播媒介么？垃圾。）（短评里居然吹出了喜剧之王，拉倒吧）',)"
"('55',)","('DQBLUR',)","('2019-02-05',)","('很尬，搞笑吧也不是很搞笑，科幻吧又搭不上太多边。新年第一部，选的我有点后悔。',)"
"('45',)","('Frances',)","('2019-02-05',)","('一本正经的瞎扯，出现了很多梗，部分内容引起不适。两星半！',)"
"('39',)","('老罗Lazzaro',)","('2019-02-05',)","('大型混搭闹腾现场，根本看不出来源于《乡村教师》的灵感影子，延续“疯狂”系列差前两部一截，笑料刻意。有对几部电影的致敬，要黑某国还得过审查隔层纸用字母替代。',)"
"('47',)","('较怂',)","('2019-02-05',)","('中美合拍的西游记，人妖不分，是非颠倒。建议宁浩带头谢罪，真心无聊，从剧作到特效，没一样能看的。全靠段子撑完全片',)"
"('50',)","('老左',)","('2019-02-05',)","('这片子真适合春节啊，披了外星人皮的二人转加开心麻花吧，影院里好几个人笑得跟没看过春晚似的',)"
"('43',)","('Louie',)","('2019-02-05',)","('噫！那几个老外是收了多少钱来接这种片子，我替片方尴尬😅，这种侮辱人很有意思？',)"
"('44',)","('雪后林中有鹿',)","('2019-02-05',)","('低俗粗鄙到恶心，完全笑不出来，很好的题材却没有一点点反思！',)"
"('40',)","('Oasis',)","('2019-02-05',)","('一星半。去年被【唐探2】折磨，今年被外星人蹂躏，又吵又土，憋着气看完。全线崩塌大概是我看完最大的感受，对外星生物和宇宙的愚昧无知倘若能够接受的话，那么对所谓地球文明和底层职业的一孔之见已然丧失和观众交流的权力，这和耍猴有何区别。若不是看在零星出色的笑点，打一星都嫌多。',)"
"('36',)","('大白',)","('2019-02-05',)","('全程没一次开怀大笑，更尴尬的是，后半段居然给我看睡了。宁浩的电影，有黄渤，有沈腾的电影，居然把我看睡了。这是我的问题，还是电影的问题？',)"
"('39',)","('空盒子',)","('2019-02-05',)","('大失所望，没有了黑色幽默就只剩下一出闹剧了。一大早去看了《疯狂的外星人》，感觉这应该是疯狂系列里最平庸的一部。喜欢黄渤，喜欢沈腾，喜欢宁浩，可是看完就像是一大桌子讨喜的菜却找不到特别爱吃的，惋惜又难过。',)"
"('34',)","('大束',)","('2019-02-05',)","('无趣是最可怕的',)"
"('28',)","('山花',)","('2019-02-05',)","('我不敢相信原著作者是刘慈欣……',)"
"('35',)","('萨库拉',)","('2019-02-05',)","('可怕到目瞪口呆。是什么样的审美和价值观和脑回路才能把《乡村教师》拍成这么一个鬼东西？如果我是刘慈欣大概会吐十升血。',)"
"('22',)","('陈鱼',)","('2019-02-05',)","('宁浩你在搞毛？为了占个春节档就刻意搞这么闹腾吗？绝杀的阵容，绝杀的题材，居然拍的如此不堪入目，如此会讲故事的导演没讲好故事。除了配乐可以加分，配乐不出彩就快到一无是处的地步了。',)"
"('31',)","('一花一世界',)","('2019-02-05',)","('疯狂系列最垃圾，大杂烩，剧情真的很乱很垃圾。',)"
"('33',)","('車神薛仔',)","('2019-02-05',)","('弱智。',)"
"('24',)","('MrTOMandMsJERRY',)","('2019-02-05',)","('快手配乐和抖音特效不做评价，笑点也不高级，靠演员称了个及格分。',)"
"('29',)","('不准偷看我洗澡',)","('2019-02-05',)","('开头很精彩，给我感觉的是不愧是科幻电影，精彩！然后就呵呵了，什么鬼，很无聊又无语的喜剧，笑点有一些，比如外星人喝醉之后',)"
"('22',)","('朝阳区妻夫木聪',)","('2019-02-05',)","('当二手玫瑰和太空漫游同屏出现时我就已经预见影片之后的分裂了。试图用神经喜剧屎尿屁的形式来讲述一个深刻甚至宏大的议题，最后的结果只能是一顿嬉皮笑脸的“我就蹭蹭我不进去”。笑不出来，且看得人浑身不适，人类面对无论是比自己更高阶或是更低阶的生物时，首先想到的方法也只能是“驯化”。低阶物种得到高阶文明的刺激后，最终被制伏的方法仍然是依靠“被驯化”。大概是我不太能接受人类这种程度的傲慢和卑劣吧，所谓的阶层跃迁和抹除差异，我是没太看到。而且在你国，S国和C国不配拥有姓名，即便傻子都能看到其中的隐喻；把别的国家一顿黑不说，到头来还要人家跑到你的土地上对着自家的建筑一顿扫射，最后炸平了整个“世界版图”后，自己获得了全宇宙的代言权。讲真人类都已经这样愚蠢了外星人居然还想要建交，我看是真的喝高了。',)"
"('26',)","('蒲浦',)","('2019-02-05',)","('額，其實還好，5.5分差不多。演員的演技在綫，劇情稍微有點尷尬，有點看不透導演想表達的主題，笑點中規中矩，沒有啥映像深刻的地方，抱著很大期待來的，稍微有點冷。不過還算不錯，對得起電影票。無聊的人可以去看看。',)"
"('29',)","('15616112943li',)","('2019-02-05',)","('开场以为走错了厅~带着爸妈看以为是喜剧片，一点都不搞笑～失望',)"
"('16',)","('迦南Canaan',)","('2019-02-05',)","('《西游降魔篇》+《降临》+《ET》大部分的笑料都来自于最高权力置换后造成的反差，但是电影里最高级的权力掌握者不是电影中的任何一方，而是坐在电影院里用上帝视角笑闹的观看他们的观众，近乎谄媚的视角令我感到极其不适，不舒服，且宁浩真的就是在制造笑料，没有任何深入的开展，结尾特效、故事、节奏的全面崩溃也在意料之中，因为他根本没想好要将这个故事编写至怎样荒唐的结局。',)"
"('21',)","('失忆的画匠',)","('2019-02-05',)","('外星人永远又丑又弱又总想操纵人类 C国人永远又自大又傻X又永远想拯救地球 这种“耍猴”设定 真是taste like shit',)"
"('17',)","('圣迭戈-北岛',)","('2019-02-05',)","('《外星人保罗》用戏说净化落后保守，《疯狂的外星人》用戏虐宣扬故步自封。风格还是宁浩的风格，我诧异这恶臭粗鄙的文本是否出自宁浩本人。',)"
"('19',)","('双鸭山',)","('2019-02-05',)","('剧本不够全靠演技来凑。没笑出来。',)"
"('20',)","('得闲喵团',)","('2019-02-05',)","('恶俗的刻板印象设定的集大成者。',)"
"('14',)","('南悠一',)","('2019-02-05',)","('想知道几十年后关于这片的平价。',)"
"('18',)","('红气球',)","('2019-02-05',)","('贺岁档踩雷 无聊闹剧',)"
"('19',)","('马庆云',)","('2019-02-05',)","('恭喜宁浩进入年度最烂行列。',)"
"('7',)","('不良生',)","('2019-02-06',)","('像是一个生物圈。人类从远古的猴群生物进化而来，衣冠楚楚，道貌岸然，用野蛮创造文明，又用文明重复野蛮，既穿越星空去探寻更高层次的智慧，又手执锣鼓长鞭埋首生活底层耍起了猴戏。五指山下逃不开咒语，浩渺星河面前握不住苍穹宇宙，影片借荒诞喧闹的叙事讲述的依旧是人类对于自身认同的困顿、抗争与宿命感。',)"
"('11',)","('路西法尔',)","('2019-02-05',)","('特效太差了，扣一星。宁浩的电影就像是一个大型农家乐动物园，里面充满了史里芬式的“景观”。这种观察世界的方式很第三世界，一度让我怀疑自己在看优化版的乌干达奇片《谁杀死了阿历克斯队长》，不过看完我确定宁浩终于放弃了成为中国的盖·里奇，而是选择成为了乡土版的蒂姆·波顿——这根本就是《火星人玩转地球》嘛。',)"
"('9',)","('西帕克',)","('2019-02-06',)","('没想到春节档真正的意淫大片是这部，你有外星科技，我有中华神功。',)"
"('18',)","('Chain',)","('2019-02-05',)","('实在是尴尬，属于两个大牌实力男主角都救不回来的那种烂片。没去电影院看的建议省了这出猴票钱。',)"
"('16',)","('Ao3kloze',)","('2019-02-05',)","('真难看啊 要不是被安排在春节档肯定被骂成屎 事实上电影真的讲的是一坨屎你说巧不巧 给多一颗星因为以为自己演了电影还好和黄渤不是太像',)"
"('15',)","('Azure',)","('2019-02-05',)","('难看 特别难看 外星人好可怜。。。。',)"
"('16',)","('燕子坞主人',)","('2019-02-05',)","('竟然在猪年全程尬演了一部让人身心不适的猴戏',)"
"('14',)","('遮雨也遮月光',)","('2019-02-05',)","('一无是处，坐如针毡，宁浩这么多年只学会了玩别的电影的梗吗？是不是宁浩+黄渤+沈腾+春节档排出一坨屎来也能卖10亿啊？就算观众是猪，不用给我们包饺子吃，最起码别给我们喂屎吃啊！我吃柠檬！',)"
"('15',)","('乌龙茶',)","('2019-02-06',)","('我诚实地打出两颗星，真是太难看了。它改变了原著的精神内核，以肤浅的、龌龊的小民思想应对生活中遇到的困局，以酒桌文化里的兄弟论解决问题。看完脑壳疼，不愉快。谁会拿确定的智慧生命泡酒啊？你们还是人吗？',)"
"('11',)","('Muto',)","('2019-02-05',)","('沉浸在《飞驰人生》里的《新喜剧之王》把假的叙述成真的，只会耍小聪明的《疯狂外星人》将真的包装成假的。宁浩就是因为比所有猴都聪明，所以才拍了这部另类的巫术电影。但本质上都一样：唬人骗钱。然而又不一样：前者是人，后者不是。',)"
"('14',)","('小猪桃子',)","('2019-02-05',)","('确实是一场猴戏',)"
"('12',)","('猪贱疯',)","('2019-02-06',)","('要批判这部电影的审美必须要连同这部电影想要迎合的那一部分观众的审美与素质一起进行',)"
"('12',)","('张隐',)","('2019-02-05',)","('资本主义国家狂妄自大、目中无人，导致事件发生。这点是电影精准的击打在东西方文化差异性，然后满足了民族自豪感，达到了意识形态上的胜利。 除了意识形态上的故意丑化C国，还有物种之间的互相伤害。两位主角倚强凌弱，奴役外星人这一段，讲真的，当我看到外星人被当做奴隶似的接受训练，我一点都笑不出，甚至很恐惧。可我们人类都爱把欢乐建立在其它物种之上，更重要的是精明的创作者心里清楚，观众吃这套。 全程到尾处于最底层的“欢欢”得到了高等文明智慧，它的觉醒—反抗—归顺，这个过程是我最不舒服的设计。因为在这样一部意识形态鲜明的电影里，我作为观众很难不把物种差距等同于阶级差距，可影片中象征底层被压迫的猴子，它的悲惨处境能引起我的共鸣，可除了屈辱与无望我再感受不到其它。',)"
"('19',)","('chlorophylle',)","('2019-02-05',)","('男朋友说看电影不如买牛肉，初一看电影的机会还是我争取来的，结果就是这么个垃圾。毫无逻辑满篇尴尬就算了，再加上沈腾完全变春晚小品，感觉比较适合缺乏观影经验的小朋友，一颗星给动物。',)"
"('12',)","('张大水',)","('2019-02-06',)","('如果之前疯狂系列是把劣根性戏谑一番，尚为影片增加光彩。那么这部真的是玩过火了，看到后半场我真的有点生理不适，或许也是我玻璃心吧。感觉创作者站在鄙视链的顶端把观众当猴耍。疯狂的自黑的同时，也黑美国黑俄罗斯，恶搞姜文周星驰，还恶搞降临,ET,虽然完成度很高，也有表达，也有作者性，但是能不能不这么low。',)"
"('10',)","('国产盘丝大仙',)","('2019-02-06',)","('说起来春节档吵吵闹闹有一些新鲜有一些愚蠢有一些笑点就刚刚好了，片子屎尿屁但也合时宜。 但是你是宁浩啊，你承载了多少影迷的信任，你是石头和赛车的主人啊。 怎么能拍出这种随意且混乱，没有推进，人物没有成长的混钱玩意啊。 你放弃你自己了吗。',)"
"('12',)","('jj73浅之',)","('2019-02-05',)","('故事表演人物喜感都没有问题，前半段跟着老家乡亲们笑得很开心，甚至还挺喜欢对山寨文化、西游文化、以及适度中国元素的运用，但是越接近结束笑容逐渐消失、看得愈发凝重。严重辱美情节暂且按下不表，对宇宙观世界观毫不辩证、毫无底线的戏谑，让我身为天朝臣民，仿佛同为井底之蛙——面对头顶针眼大的蓝天，仍洋洋得意——而感到阵阵不寒而栗。在这点面前，所有技巧的娴熟全部功亏一篑。',)"
"('8',)","('做电影的业青',)","('2019-02-05',)","('宁浩耍猴来了！烂',)"
"('9',)","('我是直的',)","('2019-02-06',)","('我想骂人。。。。。这塔嘛真是浪费我的钱和时间 全程冷漠脸 如果不是让人不适的虐待动物情节 我可能还再给一星 （19.2.6 21:35）我改变主意了 借尸还魂后 外星人说要清楚你们这些低端文明垃圾 没想过猴的感受 可以 勉强再多一星 但真的不好笑 （21:39）不行 我又后悔了 还是得一星 最后的耍猴啥玩意儿啊 还酒驾（22:00）',)"
"('11',)","('阿懒',)","('2019-02-05',)","('最大亮点是黑叔叔爆粤语。全片尴尬到爆，我笑不出来。（后排有个女观众一直说外星人好恶心。）直接成为我所看过的沈腾主演最差、黄渤主演最差、宁浩导演最差的一部电影。不管你觉得开心麻花出品的哪部电影最差，都比这部好笑。（看过《疯狂的石头》、《疯狂的赛车》就会觉得这部电影一点都不宁浩。）跟刘慈欣的小说故事没有半点关系，完全谈不上改编。 关键字：绿皮外星人、土味插曲、呕吐、屎、大圣归来。 大年初一就看了这部电影，今年接下来看的每一部电影都能多给一星了吧~',)"
"('8',)","('dolphin',)","('2019-02-05',)","('期待越大，失望越大吧。因为太喜欢宁浩，所以少一颗星期待能更好吧。没有了宁浩经典的多线，以及线索递进叠加的贯穿感，全片的亮点只有沈腾，黄渤的cp。人猴大战有点西游降魔的感觉了。挺多的戏谑，纯走喜剧，梗有点尬了。不知道外国人看了咋想。',)"
"('11',)","('无能。',)","('2019-02-05',)","('旁边的小孩无聊的玩手机',)"
"('9',)","('梦羽灵泉',)","('2019-02-05',)","('既比不上同名美国动画片，也是宁浩最低水准，抱着心花怒放的期待去看，结果比黄金大劫案还要差，荒诞主义和阶级视角做得很儿戏，好在还算是有表达，但剧情本身的水准，也就只能说趣味方面只比那些无脑流水奇幻合家欢剧还多少高级一点罢了，不是生套段子尬笑',)"
"('13',)","('Eileke',)","('2019-02-05',)","('两星不送，毫无内核的喜剧，剧情和笑点都太老套，耍猴耍外国人耍外星人，放在猴年不是更合适吗？',)"
"('10',)","('思齐',)","('2019-02-05',)","('很失望。靠外星人说俏皮话提供的庸俗喜剧。远不如前两部。',)"
"('7',)","('蓝橄榄',)","('2019-02-05',)","('改编自《乡村教师》这件事我有点接受无能。',)"
"('11',)","('天火烛照',)","('2019-02-05',)","('给黄渤演的电影打一星，之前的确没想过',)"
"('10',)","('小青蛙看电影',)","('2019-02-05',)","('以后不知道还有多少个“疯狂”……《两杆大烟枪》的招数要吃一辈子？',)"
"('15',)","('麥迪遜',)","('2019-02-06',)","('看完只想说 天啊这是个什么东西？？？',)"
"('13',)","('等一个人',)","('2019-02-05',)","('宁浩也江郎才尽了吗',)"
"('9',)","('Dagny',)","('2019-02-05',)","('饱满的期待，然后失望了🙃 完全不像石头和赛车的兄弟，不太好看啊。',)"
"('13',)","('年轻人不要信邪~',)","('2019-02-05',)","('一星送给婶疼，不谢',)"
"('10',)","('路风',)","('2019-02-05',)","('强行挠痒痒，还让美国人吃shit来搞。。。',)"
"('14',)","('高小猴',)","('2019-02-05',)","('本想就是去无脑傻笑一下，结果完全笑不出来...................好气啊！',)"
"('8',)","('yѧѳ⑉爻',)","('2019-02-05',)","('2.5 简直是消费外星人 消费外国人 扔烟的时候笑了一下 那个特工还挺有型的 剧本好尴尬 大型儿童片 要不是在电影院满员陪笑 自己看的话不知道能不能笑出来【华谊',)"
"('7',)","('再见渡洲',)","('2019-02-05',)","('师傅，走~',)"
"('8',)","('熊脑脑',)","('2019-02-05',)","('耍猴笑不出来。故事明明可以好好写，也算是星际文明互动了，误解冲突到理解和解，讲讲平等尊重也很好啊，最后外星人怎么喝了酒就原谅地球人了？',)"
"('11',)","('Mr.No.5',)","('2019-02-05',)","('真就是个耍猴的，白瞎这阵容了，尬困尬困的',)"
"('9',)","('rich handsome',)","('2019-02-06',)","('好无聊，看得我都睡着了，在电影院，非常尴尬的剧情，无聊透顶，剧本生硬强行搞笑，没有多少年味，新年你就给我看这些平庸之作，都不够导演之前的《心花怒放》好看。比疯狂的石头还差，也不觉得疯狂的石头有多好看，中国春节档不是有保护月，随便一部欧美《复仇者联盟》系列电影都可以完爆现在这些，滥竽充数平庸之作的国产春节档垃圾片。提高电影质量，用心打磨好剧本才可以让中国电影真正进步，而不是靠吹捧春节档欺骗百姓钱。',)"
"('10',)","('一只米',)","('2019-02-06',)","('耍猴看的很不舒服。猴子有多听话就挨了多少打。',)"
"('8',)","('北海道 花系',)","('2019-02-05',)","('从来没看过这么难看的宁浩的电影。笑点尴尬，电影院里别人在笑，只有我get不到点，多次想要提前离场，电影票钱让我留了下来。剧情说的好听是黑色幽默。在我眼里就是卖蠢。没有一个人智商在线。也不知道到底是在讽刺中国人智商低还是外国人智商低。最后的猴子头上的圆环很像紧箍咒，很好玩，加一星。',)"
"('11',)","('油盐不浸是一种境界',)","('2019-02-05',)","('不好看，全程在影院尬坐，特别难受的观影经历，这片子三观跟我完全不合。只看到了恶俗和粗鄙，为了恶俗而恶俗，为了粗鄙而粗鄙，这种宁浩式的“黑色幽默”一点吃不下去。',)"
"('8',)","('不流',)","('2019-02-06',)","('闹剧不是喜剧。',)"
"('7',)","('Virgil',)","('2019-02-06',)","('这片里对西方人的塑造就像西方人塑造傅满洲。失实前提下搞出来的尊重根本就不是尊重',)"
"('6',)","('Vi',)","('2019-02-06',)","('“强就可以为所欲为”的价值观太讨厌了，几次实力调转中，人类的表现在沈腾的表演下显得尤其油腻兮兮，所谓的“外星人”也完全是中式思维和性格。《降临》和此片里人类对待所谓外星文明（也就是“未知”）的态度完全体现不同价值观。此片有意无意的反美情绪挺强，真是楚王好细腰了。',)"
"('8',)","('深圳看片王',)","('2019-02-05',)","('2.5 非常失望，劇情創意跟《保羅》《長江七號》有點相似，但立意和娛樂性完全不及這兩部。影片有一點在身份尊貴與低賤這點上有些許的諷刺和探討，但可能主創認為這樣不討巧，以及會招致很多爭議就只是輕描淡寫了。寧浩導演的敘事表現能力可能已經陷入瓶頸或者到頭了，要想達到新高度絕不能再這般故步自封，不思進取。節奏拖沓，黃渤和沈騰表演像韓國演員那般用力，與“細膩”絕緣，笑點全來自演員裝瘋賣傻和裝慫來製造。影片改編自劉慈欣的科幻小說《鄉村教師》 我沒看過原著，但片子與科幻基本沒什麼關係，不是有特效和外星人就是科幻，完全是奇幻喜劇片，甚至是鬧劇，“科幻片”只是個幌子，很無語很無奈。不推薦',)"
