点赞数,姓名,时间,评论
"('30',)","('魏佳鑫',)","('2019-02-05',)","('完全就是赶工的速成品，情节、叙事、人物、节奏通通崩坏，重拾梦想的辛酸血泪与新冠加冕的热血燃情仅通过干巴巴的旁白和配乐营造，一点都不高级。韩寒好不容易通过前两部电影奠定的风格和优势，这次全数尽失，老歌用不出精髓，老梗耍不出新风，占据大篇幅的拉赞助戏份有三分之二都是废笔。整体下来如同映前徒有其表的汽车广告，唯一可取的是与赛车相关的视听语言部分——但这远不能成为韩寒电影的长板与标签。岳父这次玩票玩砸了，有点可惜。',)"
"('23',)","('神威太太',)","('2019-02-05',)","('整個系列拍得最爛的一部',)"
"('18',)","('又又',)","('2019-02-05',)","('难看，笑点实在好尬。不过能把自己热爱的东西拍成电影，也是很羡慕韩寒了。',)"
"('13',)","('文森特九六',)","('2019-02-06',)","('什么玩意儿',)"
"('19',)","('冰岛好人',)","('2019-02-05',)","('如果说别人拍电影是做奶茶，韩寒当导演就是白开水加几粒糖，一粒糖是亭林镇，另一粒糖是赛车，最后一粒糖是网络烂梗，韩寒始终无法摆脱早年的自己，他似乎这几年从未成长',)"
"('20',)","('老鱼冷冷冷',)","('2019-02-05',)","('有些对白莫名其妙，有些镜头不知所云，除了赛车情节之外没什么可圈可点之处了。',)"
"('11',)","('皮革业',)","('2019-02-06',)","('挺期待最后的拉力赛，毕竟是职业车手的视角，又是考验电影语言的关键。沈腾一发动赛车，心想不会弄成汽车广告吧，千万别整发动机的CG画面啊，结果马上就出现了那种瞬间加速动力澎湃的镜头……',)"
"('18',)","('Change',)","('2019-02-05',)","('没想象的好看，有丶不明觉厉',)"
"('13',)","('黑狗成',)","('2019-02-06',)","('看赛车题材我这辈子第一次睡着，佩服',)"
"('15',)","('努力的小咚鲸',)","('2019-02-05',)","('片段和片段的过度不自然，老友久别重逢的渲染，喜剧转化及多首歌曲配乐让电影有点尬。感觉各种物料都摆放整齐，却没有烧成美味佳肴，缺少很燃的竞技紧张感。同样竞技体育类电影，破风好看很多。',)"
"('10',)","('樹',)","('2019-02-05',)","('电影缺乏节奏感，象一篇中学生作文，寡淡，充满着想象，缺乏b故事，人物的动作就缺少动机，人物动作表述情感不充分，尤其是飙车段落并未形成理想的节奏感，不能控制潜在的观众。',)"
"('12',)","('旋风土豆',)","('2019-02-05',)","('节奏很乱 和韩寒以往的毛病一样 段子凑了一部电影 讲大道理 很尴尬 再加上开心麻花 风格不一致 失望……',)"
"('12',)","('phoebe',)","('2019-02-05',)","('没什么故事可讲的韩寒，靠情怀编故事，处处短板，超级虚幻，幽默技巧也实在乏善可陈，大概是初一其实只适合补觉。',)"
"('17',)","('易委屈',)","('2019-02-05',)","('春节档第一部。很喜欢韩寒写的东西但这电影真的完成度太一般了，不是作家拍个电影就能封“作家导演”的，6分是我的极限了。',)"
"('7',)","('麦可吸',)","('2019-02-07',)","('像极了我高中时写的作文，先想好立意，自信的要死，然后开始洋洋洒洒600字不知所云，突然在最后200字强行扣题。一般来说，我这种作文差不多也就10几20多分，发卷的时候我一脸茫然，我做错了什么啊？',)"
"('9',)","('Omar',)","('2019-02-06',)","('能学几年电影再拍吗？别整天自我感动了，拜托🙏',)"
"('10',)","('马庆云',)","('2019-02-05',)","('励志鸡汤。',)"
"('12',)","('YQY-Vader',)","('2019-02-05',)","('作者导演的作者性应该是体现在视听、文本、表演等诸多方面上，韩寒做到的只有文本，所以他顶多算个作者。令人更不敢相信的是韩寒还是一个车手，看拉力比赛的都知道导航员之于驾驶员的重要性巨大，却在最后一场戏让驾驶员独自驾驶，最后还能拿冠军。这种价值观是一个正常车手该有的吗？',)"
"('19',)","('王黄',)","('2019-02-05',)","('一位运动员和优秀喜剧演员合作出了一部二流喜剧插播体育赛事的三流电影。 其中运动的镜头繁复制作精良，但根本就无法好好推动，导致往后的高潮由体育赛事节目替代，并且带来了一个装逼的结局。整体来看，不仅体育感非常弱，人物形象更是不乏郭敬明之感，跟开心麻花可得差一个坎。',)"
"('8',)","('薇羅尼卡',)","('2019-02-06',)","('基本就是导演个人趣味吧。还以为能讲个热血的赛车故事啥的，没想到还是中年失意男追梦那一套。人物都跟纸片脸谱一样，立不住。最受不了的是要硬搞笑，不是沈腾随便念两个段子就能乐出来好嘛！后三分之一终于开始赛车戏了，确实挽回不少分，但是结尾哐当主角死了，黑屏来一句“Hero never dies.” 真是八脸懵逼。',)"
"('8',)","('室内滂沱',)","('2019-02-06',)","('浓浓的网大即视感。韩寒用的八零后这些热血沸腾、新一代价值观、新一代说话方式，2014年《后会无期》时还算是很新颖，短短五年时间，他不做电影语言和剧本内容上的新探索，还用老梗，五年足够被新出来的其他同代导演超过，如果再这样几年，他下一辈的新锐导演都该出来了，这不正是片中男主角遇到的问题吗。虽然能拍的了电影，但在电影领域并没有特别的野心，是现在韩寒这个名字和电影挂在一起时出现的最严重的问题，最明显不过的消费人气消费情怀，同样的小机灵段子、反差萌笑点，以前看还有点意思，现在看索然无味，本来以为这是一个模仿“洛奇”模式的体育励志电影，但结果发现这片连模仿的冲动都没有，什么乱七八糟。唯一收获：片中尹正的扮相，他是不是能演一演黑豹时期的窦唯？',)"
"('11',)","('Muto',)","('2019-02-05',)","('尽管不喜欢被塑造成某种姿态，然而韩寒颇具自传色彩的《飞驰人生》依旧是个炫酷的造型。身为职业赛车手，他认为人只有在极限运动当中才能体会到一种美妙的平衡。他不相信生命最好的状态即在平凡之中，因此在电影里大肆输出这种人生观：在一种不甘平凡的心态中追逐某种不平凡的人生。遗憾的是，这份自取其辱的执着只能证明他还是个争强好胜的年轻人。高调复出的韩寒赶上了一个好年份，只可惜他这瓶子里装的是假酒。然而逢年过节，家家户户总也少不了这支脱销断货的爆款。',)"
"('10',)","('二火山',)","('2019-02-05',)","('韩寒现在的水平就是半部及格片，给林超贤拍好看十倍没问题！',)"
"('13',)","('璐璐',)","('2019-02-05',)","('5，有一点失望。“我们听过无数的道理，却仍旧过不好这一生”，韩寒在他的电影里讲了无数的道理，但仅这样是拍不好一部电影的。韩寒还是能凭借他的小聪明抓住当代社会人们的共鸣点的，只不过终归都是小聪明。',)"
"('10',)","('白玉堂',)","('2019-02-05',)","('不如黄渤那部',)"
"('9',)","('好运来',)","('2019-02-05',)","('本来就不喜欢韩寒，别人买的票就来看了，只能说拍的比较随意，这种题材本来就是炒冷饭，失意之人为了理想而坚持，那我去看食神好了，去看黑眼睛好了，根本就没有剧情创意度的情况下，还不如前辈们拍的有意思有意义，那就更显得糟糕了。',)"
"('8',)","('老末',)","('2019-02-05',)","('导演爽歪歪，观众傻呵呵',)"
"('10',)","('= ^_^ =',)","('2019-02-05',)","('摄影没有电影语言，角色立不起来，不管是主角还是配角，没有记得的角色。笑点频现却太刻意，偏离剧情。没有反面角色的剧情太平，乏味没有起伏感代入感。韩少的电影本来是春节档最看好的结果失望而归。他的电影跟他写的书一樣偏散文。好的片乘风破浪，后会无期跟飞驰人生都虚无缥缈',)"
"('4',)","('Panda的阴影',)","('2019-02-06',)","('大年初二：《新喜剧之王》＜《疯狂的外星人》＜《飞驰人生》。—— 多少因为周星驰、宁浩、韩寒而有点期待，但他们仨不约而同地用缺乏逻辑甚至胡编滥造的故事让我有所失望，在得知《流浪地球》让我惊喜的特效不是纯国产而是在维塔工作室帮做下完成的后，感觉2018年因《红海行动》《我不是药神》等作品对国产电影产生的希望也随之被破坏。试问，他们这些有条件有资源的大牌都不为自己的电影剧本好好打磨故事，那还有多少人会为拍出好作品而努力？……P.S.：看来韩寒是真喜欢与朴树合作的《平凡之路》。＆ 这莫名其妙戛然而止的结尾与《乘风破浪》的有一拼。＆ 阿信的《一半人生》陪伴我看完片尾字幕。',)"
"('9',)","('废人',)","('2019-02-05',)","('和爸妈一块儿看的，仨人都不喜欢，哈哈',)"
"('7',)","('eviloan',)","('2019-02-06',)","('韩寒这种水平的导演，视听层面上就没啥指望，但是剧本写的如此的敷衍真的就完蛋了。',)"
"('7',)","('脆',)","('2019-02-05',)","('对赛车不感冒的我，内心没有任何触动。',)"
"('9',)","('暴暴蓝',)","('2019-02-05',)","('所有人物设定情节转折 都 十分不正常🙃',)"
"('8',)","('tsunami',)","('2019-02-05',)","('韩寒文戏节奏问题真的很大，赛车戏也没有多么出色。总之，充满了一种自我感动，完成度还不如乘风破浪。',)"
"('9',)","('门前一棵树',)","('2019-02-05',)","('像个只懂赛车的文盲',)"
"('7',)","('罗生门',)","('2019-02-05',)","('看睡着了。有点无聊。除了最后的比赛部分。',)"
"('10',)","('团小纸',)","('2019-02-05',)","('韩寒做编剧故事永远不顺，做导演也没法调度好演员，虽然我依旧认可他对赛车的热爱，但还是想借用他的台词，你的时代已经过去了（虽然钱并不会）',)"
"('6',)","('对你爱不完',)","('2019-02-05',)","('只能说，韩寒保持了和《后会无期》、《平凡之路》一样的水准，都是一样的优缺点，或者说，他一直在原地踏步。',)"
"('6',)","('空山',)","('2019-02-05',)","('克制金句的段子电影，模式化的故事，干瘪的人物，最后强行升华。韩寒电影的笑点设置，总比观众慢一拍，从《后会无期》到《飞驰人生》，没有任何改进。还去翻了一下《像少年啦飞驰》，文字也有这个缺点，永远让你笑不痛快。全片最震撼的是绿色赛车冲出赛道，跌落悬崖。赛车，真危险。',)"
"('11',)","('Cloud',)","('2019-02-07',)","('骗子韩寒，抄出四两拔干片的傻X靠代笔混不下去，现在找人代导混进娱乐圈',)"
"('8',)","('禁闭岛',)","('2019-02-05',)","('韩寒很喜欢《动物世界》哦，中间抄了好几次。虽然很早就定档了，但还是看得出来电影是在没有剧本的情况下拍的。连看两部沈腾的电影，现在巨讨厌看到沈腾。审美疲劳',)"
"('3',)","('花泽累',)","('2019-02-07',)","('韩寒是不是以为自己是伍迪艾伦？每年出来拍一部一模一样的电影然后躺着收钱就好了',)"
"('8',)","('不摸纸',)","('2019-02-05',)","('傻不傻啊。假不假啊。希望韩寒以后爱上高尔夫，多露个贵，露个专业呗。',)"
"('8',)","('岁末冬雪',)","('2019-02-06',)","('类似韩寒这样的逐利资本家们每多出一部电影，都是在给中国电影糟粕化推波助澜',)"
"('3',)","('路有冻死宇',)","('2019-02-07',)","('真·秀人脉大视频。只看最后的赛车段落还算精彩和紧凑，然而前面的铺垫缺乏真情实感，为了抛梗和反转把节奏弄得支离破碎，观感像极了滑走一个又一个同质化的抖音短视频。怎么讲，想跟韩寒学做人。',)"
"('7',)","('环形废犬',)","('2019-02-05',)","('韩寒拍给自己的赛车日志。对车、对赛车都没兴趣，只看到了东拼西凑的梗与解决事件的无聊之举。结尾飞出悬崖，那样的结束非常美好。忍到最后听五月天的歌，突然感觉到和剧情的违和感。',)"
"('6',)","('光头',)","('2019-02-06',)","('韩寒也许是个优秀的赛车手、段子手，但不是合格的电影人',)"
"('4',)","('三十',)","('2019-02-06',)","('2.5。没想到在国外的电影院也能碰到开闪光灯屏摄（了三次）的观众。从无数次张弛和孙宇强的闪回幻想便能看出，这就是一部关于韩寒怀念赛车拉力比赛的自恋、念旧表达。韩寒对剧作和电影的有效技巧只保持了30分钟，中间“拉赞助”好几段的“无厘头”桥段一塌糊涂、手法不断重复，到最后趣味寥寥。紧接着随着多得有点过分的汽车专有名词朗诵配着汽车广告才有的汽车组装特效进入韩寒心心念念的赛车戏码。比赛的桥段镜头、剪辑几乎完全复刻赛车比赛直播镜头语言，随后在不经意间逐渐提速带起全片的高潮后紧接着戛然而止的放空以及全片最具电影感的时段。表达欲极强的韩寒仍旧想从这个文学感结尾抒发他的世界观和人生观。不是励志电影，只是只有梦一场的虚无狂欢，一顿无意义的屁滚尿流只为了自杀性的一跃。看完顿时觉得身边屏摄的阿姨可爱了几分，果真有毒。',)"
"('8',)","('阿突突',)","('2019-02-06',)","('bullshit',)"
"('6',)","('大波罗霸',)","('2019-02-05',)","('一星半。除了最后赛车那场戏其他都是闹着玩拍的，七零八碎的完全没有一点连贯性，转场生硬台词烂透，不看导演是韩寒还以为自己又看了部开心麻花的贺岁大电影呢',)"
"('7',)","('嘿嘿嘿',)","('2019-02-05',)","('大过年的，看了一部赛车宣传片给自己添堵。沈腾好笑加一颗星。求求韩寒放过公路/励志/喜剧电影吧。',)"
"('5',)","('名字是个代号',)","('2019-02-06',)","('和对象一致认为，作为一个喜剧片不合格，没笑点。无趣，要笑点没笑点，要内涵没内涵。大年初一送票房，还不如看流浪星球。在这个市场逐渐开阔的时代，电影让人感到好看才能有好的口碑，不是找到好演员就能完成的。',)"
"('9',)","('小红一号',)","('2019-02-06',)","('评分这么高是认真的？？除了后面赛车那段实打实，前面那些全部都是水。这还是沈腾演，换个人还得再扣一星。',)"
"('7',)","('徐小亮儿',)","('2019-02-05',)","('充斥着伪知识分子的自恋傲娇与黔驴技穷！',)"
"('6',)","('嘚嘚嘚嘚嘚',)","('2019-02-06',)","('韩寒讲故事的能力真的是负分',)"
"('8',)","('朽木立夏黑猫酱',)","('2019-02-06',)","('韩寒不管是写书还是拍电影都擅长制造有佳句无佳章的东西，但一部合格的电影真的不应该用一股子没道理的中二情绪去贯穿，你不能为了传递一个单薄的做人信念就用不合格的材料堆砌出一个危楼。牵强的人物命运，为了煽情而存在的鸡肋父子情，明明是上海背景却违和感饱满的众多配角，没有潦草的结尾，几乎就是一部不完全好笑也丧失了韩寒乡土情怀的圈钱作。不过至少赛车部分是看到诚意了。剧情部分还不如《乘风破浪》有诚意。',)"
"('6',)","('抚台大人',)","('2019-02-05',)","('以电影的标准来看，《飞驰人生》的水平十分低劣。 假如没有沈腾的喜剧表演支撑，这所谓的“电影”就和一个励志公益广告差不多。',)"
"('5',)","('断弦的耳朵',)","('2019-02-05',)","('我觉得韩寒未来还是当个飞车指导吧，导演真的不适合他😄',)"
"('5',)","('runnytone',)","('2019-02-05',)","('节奏拖沓 剧本单调 适合在电脑上快进着看',)"
"('7',)","('海歌',)","('2019-02-06',)","('都不想浪费时间吐槽了',)"
"('7',)","('阳光海之巅',)","('2019-02-06',)","('是韩寒拍给自己看的…太任性了',)"
